country,covid_confirmed_cases,covid_deaths,covid_fatality_rate
Afghanistan,158084,7356,4.653222337
Albania,210224,3217,1.530272471
Algeria,218432,6276,2.873205391
Andorra,23740,140,0.589721988
Angola,81593,1770,2.169303739
Antarctica,11,0,0
Antigua and Barbuda,4283,119,2.778426337
Argentina,5654408,117169,2.072170951
Armenia,344930,7972,2.311193576
Australia,425496,2253,0.52949969
Austria,1270811,16815,1.323170794
Azerbaijan,616947,8358,1.354735496
Bahamas,24476,717,2.929400229
Bahrain,282062,1394,0.494217583
Bangladesh,1585539,28072,1.770502019
Barbados,28565,260,0.910204796
Belarus,699110,5578,0.79787158
Belgium,2105343,28331,1.345671465
Belize,32840,602,1.833130329
Benin,24935,161,0.645678765
Bhutan,2660,3,0.112781955
Bolivia,599753,19680,3.281350823
Bosnia and Herzegovina,291313,13442,4.614280859
Botswana,219509,2444,1.113393984
Brazil,22291839,619334,2.778299269
Brunei,15470,98,0.633484163
Bulgaria,747108,30955,4.143309936
Burkina Faso,17632,318,1.80353902
Myanmar,530834,19268,3.629759963
Burundi,27366,38,0.138858437
Cabo Verde,41732,352,0.843477427
Cambodia,120493,3012,2.499730275
Cameroon,109367,1851,1.692466649
Canada,2223735,30570,1.374714163
Central African Republic,12163,101,0.83038724
Chad,5703,181,3.173768192
Chile,1806494,39115,2.165243837
China,127896,4849,3.791361731
Colombia,5157440,129942,2.519505801
Comoros,6515,157,2.409823484
Congo,94882,1572,1.656794756
Costa Rica,570556,7353,1.28874291
Cote d'Ivoire,71004,714,1.005577151
Croatia,715245,12538,1.752965767
Cuba,966004,8322,0.861487116
Cyprus,166827,638,0.3824321
Czechia,2475729,36129,1.459327737
Denmark,810772,3282,0.404799376
Diamond Princess,712,13,1.825842697
Djibouti,13656,189,1.38400703
Dominica,6814,47,0.689756384
Dominican Republic,418778,4247,1.014141144
Ecuador,549418,33681,6.130305159
Egypt,385575,21752,5.641444596
El Salvador,121945,3824,3.135839928
Equatorial Guinea,13710,175,1.276440554
Eritrea,8011,76,0.948695544
Estonia,241408,1932,0.800304878
Eswatini,66109,1303,1.970987309
Ethiopia,420342,6937,1.650322832
Fiji,53332,698,1.30878272
Finland,270829,1714,0.632871664
France,10077783,124729,1.237663085
Gabon,41798,288,0.689028183
Gambia,10170,343,3.3726647
Georgia,934741,13800,1.476344784
Germany,7193186,112111,1.558572238
Ghana,142986,1295,0.905683074
Greece,1210853,20790,1.716971424
Grenada,6181,200,3.235722375
Guatemala,628359,16107,2.563343566
Guinea,32051,391,1.219930735
Guinea-Bissau,6484,149,2.29796422
Guyana,39573,1054,2.663432138
Haiti,25985,766,2.947854531
Holy See,27,0,0
Honduras,379402,10433,2.749853717
Hungary,1256415,39186,3.118873939
Iceland,27059,37,0.136738239
India,34861579,481486,1.381136523
Indonesia,4262720,144094,3.38032993
Iran,6194401,131606,2.124596067
Iraq,2093740,24158,1.153820436
Ireland,788559,5912,0.749721961
Israel,1383932,8243,0.59562175
Italy,6125683,137402,2.243047836
Jamaica,93920,2473,2.633091993
Japan,1732296,18389,1.061539136
Jordan,1063405,12653,1.18985711
Kazakhstan,1072518,18211,1.697966841
Kenya,295028,5378,1.822877829
Kiribati,2,0,0
North Korea,0,0,0
South Korea,635253,5625,0.885473977
Kosovo,161484,2990,1.851576627
Kuwait,417135,2468,0.59165498
Kyrgyzstan,184689,2802,1.517145038
Lao,111060,372,0.334954079
Latvia,276674,4570,1.651763447
Lebanon,727930,9119,1.252730345
Lesotho,28408,665,2.34088989
Liberia,6278,287,4.571519592
Libya,388734,5710,1.468870745
Liechtenstein,6131,69,1.125428152
Lithuania,519597,7387,1.421678724
Luxembourg,103766,915,0.881791724
Madagascar,50279,1027,2.042602279
Malawi,75075,2364,3.148851149
Malaysia,2758086,31487,1.141625025
Maldives,95700,262,0.273772205
Mali,21008,660,3.14166032
Malta,52473,476,0.907133192
Marshall Islands,4,0,0
Mauritania,41473,866,2.088105514
Mauritius,68480,786,1.147780374
Mexico,3979723,299428,7.523840227
Micronesia,1,0,0
Moldova,376155,10275,2.731586713
Monaco,4985,38,0.762286861
Mongolia,692621,2059,0.297276577
Montenegro,170034,2411,1.417951704
Morocco,963092,14849,1.541804937
Mozambique,189080,2006,1.060926592
MS Zaandam,9,2,22.22222222
Namibia,147974,3633,2.455161042
Nepal,828431,11594,1.399513055
Netherlands,3183134,21392,0.672042082
New Zealand,14120,51,0.361189802
Nicaragua,13563,217,1.599941016
Niger,7405,275,3.713706955
Nigeria,241513,3030,1.25459085
North Macedonia,225049,7960,3.537007496
Norway,394259,1305,0.331000687
Oman,305489,4116,1.347348022
Pakistan,1295933,28933,2.232599988
Palau,10,0,0
Panama,495920,7428,1.497822229
Papua New Guinea,36158,590,1.631727419
Paraguay,466101,16624,3.566608954
Peru,2296831,202690,8.824767691
Philippines,2843979,51504,1.810983836
Poland,4108215,97054,2.362437214
Portugal,1389646,18955,1.364016447
Qatar,250528,618,0.246679014
Romania,1808891,58752,3.247956897
Russian Federation,10320405,302671,2.932743434
Rwanda,111786,1350,1.207664645
Saint Kitts and Nevis,2999,28,0.933644548
Saint Lucia,13570,295,2.173913043
Saint Vincent and the Grenadines,5850,81,1.384615385
Samoa,3,0,0
San Marino,8202,100,1.219214826
Sao Tome and Principe,3897,57,1.462663587
Saudi Arabia,556236,8877,1.595905335
Senegal,75055,1890,2.518153354
Serbia,1299339,12714,0.978497528
Seychelles,24788,134,0.540584154
Sierra Leone,7064,123,1.741223103
Singapore,279405,828,0.296344017
Slovakia,1371082,16635,1.213275355
Slovenia,464048,5589,1.204401269
Solomon Islands,24,0,0
Somalia,23532,1333,5.664626891
South Africa,3458286,91145,2.635554144
South Sudan,15242,135,0.885710537
Spain,6294745,89405,1.420311704
Sri Lanka,587245,14979,2.550724144
Sudan,46518,3331,7.160668988
Summer Olympics 2020,865,0,0
Suriname,52446,1189,2.267093773
Sweden,1314784,15310,1.164449826
Switzerland,1332615,12217,0.916768909
Syria,50278,2897,5.761963483
Taiwan,17029,850,4.991485114
Tajikistan,17493,125,0.714571543
Tanzania,29306,737,2.514843377
Thailand,2223435,21698,0.975877415
Timor-Leste,19837,122,0.615012351
Togo,30163,248,0.822199383
Tonga,1,0,0
Trinidad and Tobago,91899,2869,3.12190557
Tunisia,726706,25569,3.518479275
Turkey,9482550,82361,0.86855329
Uganda,140737,3294,2.340535893
Ukraine,3847226,102088,2.653548297
United Arab Emirates,761937,2164,0.284012983
United Kingdom,13010853,149096,1.145935628
Uruguay,413383,6170,1.492562587
United States of America,54835435,825926,1.506190295
Uzbekistan,198903,1485,0.746595074
Vanuatu,7,1,14.28571429
Venezuela,444635,5328,1.198286235
Vietnam,1731257,32394,1.871126008
West Bank and Gaza,469748,4919,1.047157199
Winter Olympics 2022,0,0,#DIV/0!
Yemen,10126,1984,19.5931266
Zambia,254274,3734,1.468494616
Zimbabwe,213258,5004,2.346453591
New Caledonia,63515,313,0.492796977
French Polynesia,732268,649,0.088628753
