covid_fatality_rate,continent,country,age dependency ratio (% of working-age population),"age dependency ratio, old","age population, age 0, female, interpolated",diabetes prevalence (% of population ages 20 to 79),female population 45-49,female population 80+,"gni per capita, atlas method (current us$)","immunization, dpt (% of children ages 12-23 months)","immunization, hib3 (% of children ages 12-23 months)","immunization, measles (% of children ages 12-23 months)",improved sanitation facilities (% of population with access),improved water source (% of population with access),"improved water source, urban (% of urban population with access)",lifetime risk of maternal death (%),lifetime risk of maternal death (1 in: rate varies by country),maternal leave benefits (% of wages paid in covered period),"mortality rate, infant (per 1,000 live births)",number of infant deaths,number of maternal deaths,number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, urban (% of urban population)","population ages 00-04, female (% of female population)","population ages 15-19, female (% of female population)","population ages 20-24, female (% of female population)","population ages 25-29, female (% of female population)","population ages 30-34, female (% of female population)","population ages 30-34, male (% of male population)","population ages 35-39, female (% of female population)","population ages 40-44, female (% of female population)","population ages 60-64, female (% of female population)",population growth (annual %),"population, female (% of total)",rural population (% of total population),rural population growth (annual %),urban population growth (annual %),fat_animal products,fat_animal fats,fat_cereals - excluding beer,fat_eggs,"fat_fish, seafood",fat_fruits - excluding wine,fat_meat,fat_miscellaneous,fat_milk - excluding butter,fat_offals,fat_oilcrops,fat_pulses,fat_spices,fat_starchy roots,fat_stimulants,fat_treenuts,fat_vegetable oils,fat_vegetables,obesity,undernourished,kcal_alcoholic beverages,kcal_animal products,kcal_cereals - excluding beer,"kcal_fish, seafood",kcal_fruits - excluding wine,kcal_meat,kcal_offals,kcal_spices,kcal_sugar & sweeteners,kcal_vegetable oils,kcal_vegetables,protein_alcoholic beverages,protein_animal fats,protein_milk - excluding butter,protein_oilcrops,protein_stimulants,protein_sugar & sweeteners,protein_vegetable oils,gni_category
2.06E-05,africa,central african republic,75.15610362,6.753069797,76253,6.3,84355,15123,320,47,47,49,21.8,68.5,89.6,3.668342681,27,50,91.5,14981,1400,98,22.3,4.4,14.23422524,10.86139398,9.603655101,8.625489767,7.154016168,7.219081749,5.489976079,4.186439778,2.148333747,1.977644135,50.7085114,59.963,1.515086198,2.674438874,18.5453,2.8767,2.7645,0.1122,0.5509,0.4998,12.9144,0.0102,1.7342,0.3468,7.0183,0.4794,0.0102,1.0609,0.0408,0,19.4838,0.0918,6.3,59.6,0.5402,7.3927,8.9565,0.4265,1.905,4.9758,0.3412,0,1.706,4.8052,0.3128,0.2045,0.0969,1.6363,3.6064,0.3876,0.0431,0,low_gni
1.29E-05,africa,chad,100.6866607,4.918309108,281174,5.7,193778,24509,880,55,55,62,12.1,50.8,71.8,5.518801589,18,50,85,51335,5400,98,64.4,13.9,18.6001343,11.07425055,9.092838829,7.294710724,5.804261715,5.844480262,4.540563412,3.52143347,1.61950932,3.261297138,49.93706132,77.529,3.09376607,3.841473819,16.8564,3.1261,7.986,0.0701,0.648,0.0701,7.8546,0.0088,4.4308,0.7268,16.7863,0.5342,0,0.1926,0.0263,0,7.5131,0.0263,4.8,37.5,0.1436,6.9411,27.8124,0.4787,0.3112,3.0158,0.5984,0,2.0823,1.8191,0.0957,0.0567,0.0425,2.7723,6.6931,0.0142,0,0,low_gni
0.002179334,south america,chile,45.24316588,15.9811221,113918,10,647913,317111,14060,96,97,96,99.1,99,99.7,0.03914812,2600,100,7,1636,52,126,0.1,0,6.319547453,7.093521309,7.574777809,7.792438023,7.184711613,7.617919183,6.836908363,6.938854108,4.914103836,1.038877486,50.66302967,10.47,-0.60936688,1.233416183,32.5206,5.2608,3.1847,1.4085,0.5204,0.4186,20.2172,0.0339,5.0798,0.0396,1.1596,0.2093,0.0283,0.181,0.4356,0.7241,10.844,0.2602,28.8,2.7,1.5942,12.3547,19.5782,0.3985,1.2786,7.4228,0.0332,0.0332,7.6387,2.823,1.096,0.2314,0.1016,5.226,0.4571,0.316,0,0.0169,high_gni
3.54E-06,asia,china,36.57994248,13.04503247,7846614,9.8,60652783,12806288,7820,99,87.47468354,99,76.5,95.5,97.5,0.042300762,2400,100,9.2,156450,4400,128,0.7,0,5.777114314,5.542887513,7.530652018,9.303619714,7.243630752,7.201124669,6.952659837,8.715416039,5.786752406,0.508136747,48.4773329,44.386,-2.168292268,2.696837536,31.0465,3.4468,2.5989,2.3066,0.9817,0.2344,21.6062,0.1517,2.2156,0.4784,1.8351,0.0234,0.0676,0.0565,0.9362,1.7979,10.659,0.5763,6.6,8.5,1.2768,16.1844,17.3827,1.2872,1.2924,9.8896,0.6698,0.0837,3.3436,3.5791,2.4645,0.1648,0.0471,2.4705,1.7892,0.387,0.0088,0.0059,mid_gni
0.002694288,south america,colombia,45.61504718,10.2498508,361603,10,1658277,388514,7130,91,91,94,81.1,91.4,96.8,0.125686759,800,100,13.6,10183,480,98,4.4,1.5,7.471637218,8.156451769,8.467452277,8.348849869,8.118244967,8.191349772,7.417825052,6.643209201,3.982986599,0.910880196,50.768872,23.564,-0.249393717,1.271306068,21.4008,1.7819,1.7347,1.7819,0.3717,1.2273,11.3996,0.0177,5.9535,0.118,0.9854,0.1652,0.1239,0.2832,0.2655,0.5251,23.0824,0.1829,22.1,4.8,0.9856,8.8544,15.3337,0.2424,4.6857,4.0717,0.1293,0.0808,9.5492,5.5906,0.614,0.2626,0.0346,8.4243,0.6496,0.1313,0.4699,0.0346,mid_gni
2.03E-05,africa,congo,95.91275719,5.806728951,1468735,6.4,1276696,159817,410,81,81,79,28.7,52.4,81.1,4.090656188,24,67,74.5,233339,22000,98,10.2,2.5,17.73725909,10.54651948,8.820577049,7.291551107,5.943494291,5.919767494,4.825136801,3.992528053,1.68256674,3.141738113,50.1297737,57.506,2.244994933,4.368224962,12.9993,0.339,2.7016,0.1377,1.854,0.837,9.6514,0.053,0.678,0.339,5.0429,0.1483,0.0106,1.0806,0.5191,0.0212,26.0091,0.5827,8.4,40.3,1.6241,4.9805,12.6462,1.1693,1.8839,3.1832,0.2382,0,3.5513,4.699,0.7579,0.7335,0.0089,0.5725,1.7531,0.0716,0,0.0179,low_gni
0.001529374,north america,costa rica,45.36935187,12.93939469,32891,8.5,158160,51758,10210,92,92,93,94.5,97.8,99.6,0.047644259,2100,100,8.5,577,18,120,0.1,0.2,7.120328185,8.088981208,8.428987993,8.488930423,8.040486116,8.195315407,7.18322611,6.407387905,3.955201359,1.050539819,49.96630511,23.179,-2.783638956,2.236891154,20.5571,6.1,1.6733,1.1492,0.9286,0.57,5.6449,0.0138,6.67,0.0552,1.0389,0.2436,0.0414,0.0506,0.4045,0.354,24.8736,0.1701,25.7,4.8,1.211,11.347,14.499,0.7299,2.223,3.0358,0.0829,0.0829,8.4107,7.9297,0.7133,0.0739,0.0739,11.7861,1.4602,0.5545,0.0123,0.0062,mid_gni
3.15E-05,africa,cote d'ivoire,83.49039142,5.554099767,390632,2.3,388834,28315,1410,83,83,72,22.5,81.9,93.1,3.168161167,32,100,66.6,54998,5400,98,26.4,5.6,16.33148675,11.15584181,9.304406959,7.628958598,6.345921017,6.169214441,5.363455302,4.351004114,1.669549874,2.427516558,49.13937177,45.82,0.909199848,3.729796675,5.3253,0.2726,4.9709,0.4271,1.2268,0.5271,2.5809,0.0091,0.5634,0.2545,4.8891,0.1,0.6089,1.2359,1.9357,2.3355,27.7354,0.3272,9,19,0.4579,2.1612,18.8278,0.641,2.5458,0.8791,0.1832,0.2564,1.63,4.9451,0.641,0.1859,0,0.6506,2.2727,1.4109,0,0.0084,low_gni
0.002967993,europe,croatia,51.1207047,28.61785715,18223,5.6,139163,140018,12690,94,94,93,97,99.6,99.6,0.012718536,7900,100,3.6,135,3,208,0.4,0.3,4.588880431,5.341067038,5.208998176,5.971936164,6.467638573,7.181615939,6.572145634,6.595470662,7.03190381,-0.330505844,51.76657783,41.036,-1.078313965,0.193251063,29.3768,7.4457,2.9565,0.9476,0.5633,0.2577,11.4896,0,8.7951,0.131,1.8123,0.0175,0.0655,0.0393,2.6726,0.6987,11.7123,0.393,27.1,2.5,2.7404,14.6911,14.2695,0.6,1.508,5.4484,0.2594,0.0649,7.4753,3.843,1.9296,0.642,0.1162,11.4561,0.5866,0.9242,0.0387,0.0221,mid_gni
0.000730669,north america,cuba,43.42712073,20.04085123,56790,10,520969,234335,13410.2027,99,96,99,93.2,94.9,96.4,0.0566102,1800,88.875,4,469,45,105.4117647,0.6,0.4,5.042804563,5.87528804,6.188647086,6.926487661,5.921709642,6.101040521,5.881357607,8.624837233,5.586066109,0.09180158,49.76152727,22.926,-0.360795379,0.226824769,25.9025,3.2213,4.4779,1.4788,0.2638,0.6179,16.0233,0.0139,4.7695,0.1458,2.6937,0.6248,0.0417,0.3749,0.1458,0.0069,14.5446,0.5554,26.7,2.5,0.9825,7.6111,19.607,0.1466,3.2116,4.2968,0.1027,0.0147,7.5964,2.713,1.2758,0.1187,0.0057,4.3024,2.6063,0.1753,0,0,high_gni
0.000547498,europe,cyprus,41.63596652,18.19377375,6269,9.6,37069,20062,25930,97,97,90,100,100,100,0.010671087,9400,72,2.5,32,1,126,0,0,5.569298258,6.473455172,8.175078135,7.76197951,8.45818559,9.324599826,7.497967793,6.859048927,5.260437835,1.004080092,48.983781,33.079,1.300872961,0.857700042,20.9578,1.8698,3.4616,1.0044,0.7309,0.3632,10.5506,0.1614,6.6945,0.1031,2.1164,0.0628,0.0538,0.0404,1.9236,0.8609,19.7381,0.2601,22.6,5.6,1.6826,12.8681,15.392,0.8604,1.9312,5.9847,0.1338,0.0765,4.4933,7.4379,1.5105,0.2117,0.0436,7.3613,1.1335,0.6415,0.0062,0.0125,high_gni
0.000578224,europe,denmark,55.86142944,29.55045409,25316,7.2,212717,147479,58590,93,93,91,99.6,100,100,0.010535361,9500,50,2.9,150,4,126,0,0,5.029084266,6.108676526,6.623745426,5.911734296,5.426856434,5.56854846,6.248774146,6.628648843,5.781163315,0.574710113,50.36357745,12.324,-0.82743462,0.77338505,35.4131,14.2498,1.4741,1.7484,1.1313,0.5257,9.2408,0,8.8142,0.2285,0.7161,0.0152,0.1752,0.0533,1.6874,1.1846,8.4752,0.2819,21.3,2.5,2.4239,17.7505,13.3757,0.9459,1.5814,5.0103,0.3252,0.1921,7.1386,2.9116,1.1676,0.3937,0.4246,12.009,0.3185,0.9245,0.0044,0.0575,high_gni
0.000212871,africa,djibouti,58.53386781,6.637145229,10400,8.4,20308,2657,13410.2027,84,84,74,47.4,90,97.4,0.6980125,140,100,54.2,1190,50,98,20,3.7,11.38208991,9.894371056,10.07038159,9.687592615,7.379320798,7.35238044,6.893595072,5.471031788,2.218682907,1.325049786,49.78470729,22.657,0.968570487,1.42971882,11.1065,1.3966,4.3977,0.2494,0.291,0.1247,5.121,0.1413,3.8573,0.1912,0.4323,0.557,0.3159,0.0333,0.5653,0.4157,31.449,0.4572,12.2,18.9,0.1306,3.7127,27.8918,0.1493,0.7836,1.4925,0.1306,0.2052,6.1754,6.25,1.2127,0.0225,0.0225,3.4863,0.2549,0.1949,0,0.0075,high_gni
0.00064667,north america,dominica,58.85688141,13.27426371,391345.9012,12.6,1359771.66,466165.4815,6760,98,98,96,73.56153846,89.77070064,95.7,0.709157384,3161.220126,60,19.6,21,1767.037736,84,9.441721854,2.777124183,9.727203194,8.193980104,8.175233632,7.903350313,7.325066375,7.551445038,6.531372392,5.983206066,3.813317802,0.467519349,50.15638461,30.461,-0.459667326,0.876387998,26.925,3.8063,1.4913,0.3619,1.6536,1.1856,13.7339,0.1123,7.232,0.1373,4.8172,0.1373,0.468,0.4867,1.7846,0.0312,12.3237,0.2309,28.2,6.2,1.4266,10.9375,11.3791,1.036,5.8254,4.7724,0.1359,0.4755,6.9633,2.9721,1.036,0.038,0.0634,8.3434,0.7095,0.6018,0,0.0127,mid_gni
0.000403385,north america,dominican republic,57.75732496,10.49505761,103699,8.8,284478,90004,6130,85,76,90,84,84.7,85.4,0.2478182,400,100,25.7,5572,200,84,2.8,2,9.847393868,9.130299713,8.889892662,8.227074199,7.544908071,7.370599112,6.657963372,5.997757412,3.113308222,1.169842771,50.17187337,21.02,-3.109305847,2.340250611,15.2779,2.2261,1.4528,1.1248,0.2484,3.6133,7.3718,0.0422,4.1194,0.1875,2.9103,0.1921,0.0609,0.0797,0.2906,0.0703,25.8881,0.1218,26.9,9.5,1.589,8.6782,13.3054,0.2968,7.421,3.7716,0.2445,0.0524,5.413,8.521,0.5762,0.4784,0.0224,7.1386,0.7774,0.4111,0,0,mid_gni
0.002086239,south america,ecuador,55.57777234,10.43023167,157292,9.2,443717,133023,6010,78,78,84,84.7,86.9,93.4,0.171974068,580,100,18.4,6027,210,84,3.9,0,9.741977846,9.122231197,8.814822788,8.342104015,7.551956146,7.560205197,6.829834991,6.209233673,3.326768896,1.506845985,50.00692192,36.258,0.885465301,1.862032896,20.9283,4.7198,3.6672,1.0246,0.2519,0.4367,8.7453,0.028,6.0803,0.1008,0.8566,0.0616,0.0392,0.084,0.1848,0.0784,23.5541,0.084,19.3,7.9,0.9275,9.7391,23.4396,0.2512,2.5894,3.9227,0.1353,0.0386,3.6908,7.1884,0.4638,0,0.0988,7.3579,0.6385,0.0532,0,0.0152,mid_gni
0.000237706,africa,egypt,62.28639809,8.471773866,1332613,16.7,2160303,451007,3340,93,93,92,94.7,99.4,100,0.122989369,810,100,20.3,56914,820,90,0,0,12.96764949,8.469595427,8.641923736,9.08423726,8.0136607,8.06172392,6.649872633,5.376133392,2.749722186,2.129892119,49.4684863,56.865,2.013894981,2.283017397,15.9979,3.4231,13.4988,0.8448,1.32,0.7216,6.4678,0.0088,3.6343,0.2992,4.4615,0.1584,0.2376,0.1936,0.0792,0.2992,13.6132,0.66,31.1,4.5,0.0301,4.1999,32.2144,0.6322,2.5591,1.6408,0.2107,0.1204,4.0644,2.0623,1.5806,0.0052,0.0467,2.0919,0.5969,0.2024,0,0.0052,low_gni
0.000624165,north america,el salvador,54.32195105,12.61087844,50429,9.2,181117,62648,3940,91,91,95,75,93.8,97.5,0.11175312,890,100,14.4,1509,57,84,2.8,0.9,7.810559455,9.806073923,9.52994179,8.312075445,7.323345253,6.602994323,6.84960241,6.245421121,3.56083734,0.308591942,53.06941896,33.274,-1.096995002,1.016962709,23.3032,6.3901,8.1958,1.6034,0.4514,1.4321,6.6547,0.1012,8.1491,0.0545,5.0669,0.5837,0.0311,0.1401,0.3269,0.1167,10.2506,0.4514,22.7,9,0.9019,7.9857,22.6043,0.2818,1.9917,2.2924,0.0564,0.0188,7.1965,2.1984,1.0898,0.1203,0.0468,7.0364,1.3699,0.294,0,0.0267,mid_gni
0.001472563,europe,estonia,53.48614119,28.79355264,6022,4.4,41207,50930,18480,93,93,93,97.2,99.6,100,0.015801274,6300,100,2.3,28,1,140,0,0,5.033083181,3.869443171,5.50598648,6.798092346,6.387488543,7.668666717,6.191424152,6.649862511,6.900063016,-0.193943202,53.1968873,32.462,0.065294697,-0.318306721,33.219,6.5339,2.8982,1.583,0.2818,0.3805,10.4279,0.0188,14.275,0.1174,0.3664,0.0658,0.1926,0.0892,2.7855,1.2495,8.4457,0.2865,23.8,2.9,4.839,15.3336,16.2121,0.339,1.5411,4.3612,0.1387,0.1541,3.7756,2.4503,1.2329,0.5907,0.2233,15.424,0.1861,0.7535,0.0047,0.0233,high_gni
6.98E-05,africa,ethiopia,81.56767847,6.325619289,1501657,3.4,1696901,257550,590,86,86,78,28,57.3,93.1,1.55595121,64,100,41.4,129947,11000,90,28.6,5.8,14.46481709,11.68825654,9.669709658,7.721206572,6.614010418,6.451963591,5.125219203,4.18932402,1.837184272,2.47736063,50.08830198,80.528,1.927514449,4.78395465,11.1691,1.4358,11.3929,0.2238,0.0559,0.4102,4.1768,0,5.1091,0.1678,2.6851,2.5545,2.6851,0.8018,0.0186,0.7459,17.4156,0.1305,3.6,20.6,0.4774,2.0182,31.5321,0.0217,0.2821,0.651,0.0651,0.5859,1.8663,1.8012,0.2821,0.1676,0.0076,2.1938,0.8074,0.3047,0,0,low_gni
0.000782384,oceania,fiji,52.84830729,8.91258909,8204,13.8,24807,3394,4800,99,99,94,91.1,95.7,99.5,0.08127838,1200,100,19.1,328,5,84,0,0,9.764935533,8.443210997,8.509342832,7.85851436,7.925102276,8.060587223,6.93540516,5.824846415,3.536912966,0.640395308,49.15322061,46.272,-0.164587974,1.33889927,20.0472,7.6883,1.5114,0.5773,1.4694,0.084,8.423,0.0262,1.7948,0.0945,8.9635,0.2991,0.1312,0.3569,0.4408,0.1469,17.8168,0.1732,30,3.7,0.7322,8.4795,18.1338,1.1238,0.63,3.5587,0.1192,0.1192,5.9254,5.1081,0.8343,0.2232,0.2435,2.7323,1.8734,0.3382,0,0.0203,mid_gni
0.000312659,europe,finland,58.26668653,32.40856382,27994,6,179363,185733,46360,98,98,97,97.6,100,100,0.004608347,21700,58,1.9,110,2,147,0,0,5.313414099,5.333203551,6.09890861,5.883300208,6.154125832,6.749810542,6.175919279,5.24041142,6.729594499,0.374669478,50.77568517,15.779,-0.477237042,0.535086564,36.725,6.3787,1.7872,0.8524,0.9384,0.2901,16.6649,0.1146,11.8155,0.0788,0.6017,0.0179,0.043,0.0537,0.7844,0.5157,8.8607,0.2041,24.9,2.5,2.4873,19.2239,14.504,0.944,1.6032,7.9562,0.1199,0.045,4.525,3.2814,0.884,0.4797,0.2505,14.3706,0.3524,1.0826,0.0042,0.0594,high_gni
0.001866966,europe,france,60.26679873,30.64383183,380069,5.3,2260805,2590459,40580,98,97,91,98.7,100,100,0.016504224,6100,73,3.5,2747,66,112,0,0,5.791900645,5.623157014,5.496157585,5.931521961,6.081248049,6.323875132,5.898862977,6.613230982,6.172348311,0.468770345,51.32931891,20.48,-0.652846491,0.759686266,30.2594,9.1996,1.4334,0.9894,0.8752,0.3869,11.0864,0.0159,7.9533,0.1554,0.685,0.0254,0.0285,0.0412,0.6279,0.853,15.4658,0.1776,23.2,2.5,1.9955,16.9899,13.8983,0.8994,1.6582,6.1551,0.2389,0.0422,5.5509,6.0568,0.9837,0.1784,0.2677,11.1617,0.4104,0.7361,0.0045,0.0134,high_gni
0.000166928,africa,gabon,73.10581547,8.836935833,24711,7.8,33184,9797,9210,80,80,68,41.9,93.2,97.2,1.173956687,85,100,36.1,1852,150,98,1.8,1.5,13.86464367,10.25349999,9.403184579,8.357643693,6.988954811,7.286642397,5.60138827,4.583870741,2.225335929,2.204565449,49.43279167,12.844,0.383863745,2.47570393,19.2656,0.7379,4.1074,0.1956,2.0359,0.6401,13.4068,0.1422,2.2937,0.5957,8.9438,0.0089,0,0.5779,0.7112,0.0178,15.3805,0.2045,13.4,10.5,2.0617,7.1874,18.0064,1.0781,5.2771,4.4638,0.4539,0,2.7237,2.8939,0.5485,0.6967,0.0188,1.7071,3.3264,0.1004,0,0.0126,mid_gni
0.000172282,africa,gambia,94.16772402,4.492750372,39315,2,33814,2494,13410.2027,97,97,97,58.9,90.2,94.2,4.110835623,24,100,47.9,3938,590,180,1.8,0.1,18.01792931,10.53200092,8.96733914,7.731205608,6.641880339,6.169973344,5.466817453,3.936669541,1.375382562,3.201140871,50.49881362,40.368,1.684263284,4.241211325,6.0418,0.2548,4.9416,0.2113,1.3488,0.0373,1.3488,0.0622,2.8468,0.0311,12.4751,0.0311,0,0.0124,0.0995,0.2362,25.9883,0.0746,8.7,10.2,0.3543,3.7394,26.8845,1.1021,0.1771,0.6298,0.0394,0,5.5895,7.282,0.2952,0.2116,0.0078,3.3702,8.0649,0.4232,0,0.0157,high_gni
0.003751019,europe,georgia,45.673028,20.43160238,27553,6.4,129122,89757,4160,94,87,96,86.3,100,100,0.067702377,1500,100,10.6,601,19,183,1.1,0,6.344861811,5.617210437,7.087620795,7.713343606,7.047365706,7.752583522,6.894472862,6.598583614,5.572270076,-1.296264437,52.29398282,46.359,-1.668742333,-0.973230441,25.2749,7.2612,4.5695,1.1781,0.4284,0.2071,7.2326,0.1071,9.0818,0.1,0.6854,0,0.0714,0.0928,2.7774,1.1566,14.8579,0.1999,23.3,7.9,1.2367,8.8138,25.6053,0.2613,0.8361,2.3689,0.0871,0.0523,6.6539,3.205,0.5748,0.1495,0.169,8.2299,0.299,0.6436,0.0065,0.026,mid_gni
0.001377063,europe,germany,51.80605869,32.2445966,334377,7.4,3368120,2966058,45790,96,94,97,99.2,100,100,0.00852046,11700,100,3.1,2140,42,98,0,0,4.009967292,4.781739349,5.253607574,6.1386977,6.223011841,6.601137919,5.708517444,5.925698428,6.306797176,0.530366451,50.85705908,24.699,-0.304227876,0.805640478,28.1419,11.0084,1.1778,1.0462,0.7019,0.2632,8.9127,0,6.4289,0.0472,0.8909,0.0101,0.0844,0.0607,0.6614,1.6739,16.8163,0.216,25.7,2.5,3.2902,15.3684,12.4016,0.5343,1.5607,5.0759,0.0703,0.0984,6.482,6.1867,1.0827,0.6525,0.3023,12.0526,0.7821,0.6669,0.0048,0.0288,high_gni
4.72E-05,africa,ghana,73.04414373,5.873359602,423219,2.3,586695,76178,1480,88,88,89,14.9,88.7,92.6,1.344879206,74,100,42.8,38211,2800,84,19.1,6.8,14.40598114,9.836083188,9.13380658,8.234375625,7.467682826,6.922272795,6.337201523,5.19414625,1.979253383,2.300231881,50.25370584,45.958,0.895805193,3.510292177,7.6875,0.806,5.6789,0.3472,2.7774,1.2151,3.1618,0.0496,0.4216,0.1736,10.9113,0.3968,1.2771,2.0087,0,0.0868,20.4464,0.248,9.7,5.5,0.3956,2.1263,13.8784,0.923,5.6865,0.7417,0.0824,0.5769,1.9779,2.4065,0.4121,0.1509,0.0079,0.5878,2.5576,0.0159,0,0.0159,low_gni
0.001920779,europe,greece,56.24728159,33.43153886,51243,5.2,409156,410244,20290,99,99,97,99,100,100,0.004222041,23700,100,3.6,382,3,119,0,0,4.621185543,4.455251212,5.213454158,5.079804644,6.797941616,7.488799699,7.009085386,7.44550979,5.797468842,-0.632536106,51.20624482,21.993,-2.11738617,-0.209887775,17.9063,1.6989,1.328,0.7749,0.3245,0.2484,6.6267,0.0298,8.3355,0.1424,1.8413,0.0795,0.0497,0.0431,0.7749,1.881,25.5332,0.2848,27.4,2.5,1.0285,11.4771,14.4731,0.5068,2.2954,4.1586,0.1938,0.0596,4.2629,10.1654,1.4607,0.2376,0.0998,11.0689,0.6036,0.6273,0.0095,0.0285,high_gni
0.001872221,north america,grenada,50.69971504,10.78915442,961,11.4,2229,1247,8430,92,92,99,98,96.6,99,0.066467418,1500,88,10.8,21,1,90,1,1.7,9.102007851,8.955504217,9.601622809,10.55201818,8.46903702,8.948566736,6.331586559,4.787663643,3.010837512,0.446584284,49.83945706,64.409,0.42966967,0.477202029,23.0842,2.4889,1.4883,1.444,1.2856,2.8436,12.9576,0.1267,4.8195,0.0823,3.3186,0.19,0.8803,0.0697,0.874,0.1393,16.8841,0.1077,20.2,11.22675159,1.9979,12.2581,13.7565,1.1446,3.5588,5.7648,0.0832,0.6452,7.9084,4.9116,0.6035,0.1204,0.0567,6.5812,0.5809,0.1204,0,0.0283,mid_gni
0.000985566,north america,guatemala,70.85067193,8.28033528,213426,11.1,343318,92364,3590,74,74,99,63.9,92.8,98.4,0.306323594,330,100,24.3,10818,380,84,5.3,1.9,12.26911998,10.64662873,9.483714785,8.204196857,7.469445648,7.233787232,6.248660869,5.098885232,2.313671661,2.023674003,51.09026264,48.429,1.086502985,2.91181644,15.4397,1.7622,9.3956,2.6186,0.1482,1.2516,7.0735,0.0247,3.7385,0.0988,3.7879,0.5764,0.1235,0.0247,0.3788,0.9305,17.8113,0.2553,18.8,15.2,0.5887,5.5534,23.8619,0.0981,1.3736,2.551,0.0785,0.0589,9.3995,3.748,0.7653,0.0787,0.0358,2.9408,1.431,0.4865,0,0.0143,low_gni
3.10E-05,africa,guinea,83.80803921,5.630811247,214921,2.2,221551,20468,470,51,51,52,20.1,76.8,92.7,3.462112658,29,100,61,27757,3100,98,15,0.4,16.12757031,10.61757111,9.078697935,7.635778646,6.34224645,6.394492962,5.20300085,4.241807611,2.125954429,2.677072216,49.85770019,62.839,1.914536431,3.979893871,6.0747,0.7557,4.7086,0.3125,0.5014,0.3415,2.8993,0.0363,1.4896,0.1163,6.6633,0.1744,0,0.3343,0.2616,0.0073,30.6133,0.7848,6.6,16.5,0.0894,2.415,24.8479,0.3399,2.5939,1.0376,0.1073,0,2.2182,6.6547,1.61,0.0404,0.0162,1.4797,3.5417,0.2183,0,0.0081,low_gni
8.08E-05,africa,guinea-bissau,78.44823833,5.653993334,30789,2.2,33664,3063,590,80,80,69,20.8,79.3,98.8,2.622019451,38,100,60.3,3898,370,60,17.3,1.6,15.50959546,10.38839394,9.299706619,8.095712325,6.945872473,6.994647733,5.457755767,4.425053159,2.23809652,2.40417326,50.36124327,50.668,0.872618922,4.002011639,10.8323,0.6274,2.8828,0.1509,0.0715,0.2938,8.0527,0.0556,1.8027,0.1271,1.7154,0.0794,0,0.1985,0.2224,3.3116,30.3288,0.0794,8.2,28,0.6881,3.8624,28.6127,0.0444,1.9534,2.5971,0.111,0,0.6881,7.5028,0.2664,0.1925,0.034,2.1857,1.2684,0.0793,0,0.0113,low_gni
