"gni per capita, atlas method (current us$)","immunization, hepb3 (% of one-year-old children)",improved sanitation facilities (% of population with access),"improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)",improved water source (% of population with access),"improved water source, rural (% of rural population with access)",maternal leave benefits (% of wages paid in covered period),number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)",undernourished,country
630.0,78.0,31.9,27.0,45.1,55.3,47.0,100.0,90.0,12.7,17.4,0.0,29.8,afghanistan
4290.0,98.0,93.2,90.2,95.5,95.1,95.2,65.0,365.0,0.0,0.0,0.0,6.2,albania
4870.0,95.0,87.6,82.2,89.8,83.6,81.8,100.0,98.0,0.8,2.3,0.2,3.9,algeria
4180.0,64.0,51.6,22.5,88.6,49.0,28.2,100.0,90.0,30.3,53.8,0.5,25.0,angola
13390.0,99.0,,,,97.9,97.9,78.0,91.0,,,,,antigua and barbuda
12460.0,94.0,96.4,98.3,96.2,99.1,100.0,100.0,90.0,1.3,0.0,1.4,4.6,argentina
3880.0,94.0,89.5,78.2,96.2,100.0,100.0,100.0,140.0,0.0,0.0,0.0,4.3,armenia
60070.0,93.0,100.0,100.0,100.0,100.0,100.0,,,0.0,0.0,0.0,2.5,australia
47120.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,112.0,0.0,0.0,0.0,2.5,austria
6560.0,96.0,89.3,86.6,91.6,87.0,77.8,100.0,126.0,0.2,0.3,0.0,2.5,azerbaijan
21310.0,95.0,92.0,92.0,92.0,98.4,98.4,100.0,91.0,0.0,0.0,0.0,,bahamas
1190.0,94.0,60.6,62.1,57.7,86.9,87.0,100.0,112.0,1.2,1.8,0.0,14.7,bangladesh
14800.0,97.0,96.2,96.2,96.2,99.7,99.7,100.0,84.0,0.8,0.8,0.8,3.9,barbados
6460.0,99.0,94.3,95.2,94.1,99.7,99.1,100.0,126.0,0.0,0.0,0.0,2.5,belarus
44360.0,98.0,99.5,99.4,99.5,100.0,100.0,77.0,105.0,0.0,0.0,0.0,2.5,belgium
4420.0,94.0,90.5,88.2,93.5,99.5,100.0,80.0,98.0,1.0,1.9,0.0,7.5,belize
860.0,79.0,19.7,7.3,35.6,77.9,72.1,100.0,98.0,53.3,75.6,24.9,10.1,benin
3080.0,99.0,50.3,27.5,60.8,90.0,75.6,100.0,90.0,17.1,45.6,4.0,17.1,bolivia
4680.0,82.0,94.8,92.0,98.9,99.9,100.0,60.0,365.0,0.0,0.0,0.0,2.5,bosnia and herzegovina
6510.0,95.0,63.4,43.1,78.5,96.2,92.3,50.0,84.0,14.3,33.6,0.0,26.4,botswana
9850.0,96.0,82.8,51.5,88.0,98.1,87.0,100.0,120.0,2.1,13.3,0.2,2.5,brazil
7220.0,92.0,86.0,83.7,86.8,99.4,99.0,90.0,410.0,0.0,0.0,0.0,3.6,bulgaria
660.0,91.0,19.7,6.7,50.4,82.3,75.8,100.0,98.0,55.1,74.7,9.1,20.0,burkina faso
3290.0,93.0,72.2,54.3,81.6,91.7,87.3,100.0,60.0,23.9,40.1,15.4,12.6,cabo verde
1070.0,89.0,42.4,30.5,88.1,75.5,69.1,50.0,90.0,47.5,59.9,0.0,16.4,cambodia
1330.0,84.0,45.8,26.8,61.8,75.6,52.7,100.0,98.0,5.8,11.7,0.8,9.9,cameroon
47500.0,55.0,99.8,99.0,100.0,99.8,99.0,34.0,105.0,,,0.0,2.5,canada
320.0,47.0,21.8,7.2,43.6,68.5,54.4,50.0,98.0,22.3,34.2,4.4,59.6,central african republic
880.0,55.0,12.1,6.5,31.4,50.8,44.8,50.0,98.0,64.4,79.0,13.9,37.5,chad
14060.0,97.0,99.1,90.9,100.0,99.0,93.3,100.0,126.0,0.1,1.1,0.0,2.7,chile
7820.0,99.0,76.5,63.7,86.6,95.5,93.0,100.0,128.0,0.7,1.6,0.0,8.5,china
7130.0,91.0,81.1,67.9,85.2,91.4,73.8,100.0,98.0,4.4,14.1,1.5,4.8,colombia
410.0,81.0,28.7,28.7,28.5,52.4,31.2,67.0,98.0,10.2,15.8,2.5,40.3,congo
10210.0,92.0,94.5,92.3,95.2,97.8,91.9,100.0,120.0,0.1,0.0,0.2,4.8,costa rica
1410.0,83.0,22.5,10.3,32.8,81.9,68.8,100.0,98.0,26.4,50.9,5.6,19.0,cote d'ivoire
12690.0,94.0,97.0,95.8,97.8,99.6,99.7,100.0,208.0,0.4,0.6,0.3,2.5,croatia
,96.0,93.2,89.1,94.4,94.9,89.8,,,0.6,1.6,0.4,2.5,cuba
25930.0,97.0,100.0,100.0,100.0,100.0,100.0,72.0,126.0,0.0,0.0,0.0,5.6,cyprus
58590.0,,99.6,99.6,99.6,100.0,100.0,50.0,126.0,0.0,0.0,0.0,2.5,denmark
,84.0,47.4,5.1,59.8,90.0,64.7,100.0,98.0,20.0,75.6,3.7,18.9,djibouti
6760.0,98.0,,,,,,60.0,84.0,,,,6.2,dominica
6130.0,81.0,84.0,75.7,86.2,84.7,81.9,100.0,84.0,2.8,5.9,2.0,9.5,dominican republic
6010.0,78.0,84.7,80.7,87.0,86.9,75.5,100.0,84.0,3.9,10.8,0.0,7.9,ecuador
3340.0,93.0,94.7,93.1,96.8,99.4,99.0,100.0,90.0,0.0,0.0,0.0,4.5,egypt
3940.0,91.0,75.0,60.0,82.4,93.8,86.5,100.0,84.0,2.8,6.5,0.9,9.0,el salvador
18480.0,91.0,97.2,96.6,97.5,99.6,99.0,100.0,140.0,0.0,0.0,0.0,2.9,estonia
590.0,86.0,28.0,28.2,27.2,57.3,48.6,100.0,90.0,28.6,34.1,5.8,20.6,ethiopia
4800.0,99.0,91.1,88.4,93.4,95.7,91.2,100.0,84.0,0.0,0.0,0.0,3.7,fiji
46360.0,,97.6,88.0,99.4,100.0,100.0,58.0,147.0,0.0,0.0,0.0,2.5,finland
40580.0,83.0,98.7,98.9,98.6,100.0,100.0,73.0,112.0,0.0,0.0,0.0,2.5,france
,,98.5,98.5,98.5,100.0,100.0,,,1.4,1.4,1.4,4.2,french polynesia
9210.0,80.0,41.9,31.5,43.4,93.2,66.7,100.0,98.0,1.8,3.9,1.5,10.5,gabon
,97.0,58.9,55.0,61.5,90.2,84.4,100.0,180.0,1.8,4.3,0.1,10.2,gambia
4160.0,94.0,86.3,75.9,95.2,100.0,100.0,100.0,183.0,1.1,2.3,0.0,7.9,georgia
45790.0,88.0,99.2,99.0,99.3,100.0,100.0,100.0,98.0,0.0,0.0,0.0,2.5,germany
1480.0,88.0,14.9,8.6,20.2,88.7,84.0,100.0,84.0,19.1,33.7,6.8,5.5,ghana
20290.0,96.0,99.0,98.1,99.2,100.0,100.0,100.0,119.0,0.0,0.0,0.0,2.5,greece
8430.0,92.0,98.0,98.3,97.5,96.6,95.3,88.0,90.0,1.0,0.6,1.7,,grenada
3590.0,74.0,63.9,49.3,77.5,92.8,86.8,100.0,84.0,5.3,8.9,1.9,15.2,guatemala
470.0,51.0,20.1,11.8,34.1,76.8,67.4,100.0,98.0,15.0,23.7,0.4,16.5,guinea
590.0,80.0,20.8,8.5,33.5,79.3,60.3,100.0,60.0,17.3,32.7,1.6,28.0,guinea-bissau
4090.0,95.0,83.7,82.0,87.9,98.3,98.3,70.0,91.0,0.3,0.4,0.0,8.1,guyana
820.0,60.0,27.6,19.2,33.6,57.7,47.6,100.0,42.0,19.0,35.0,7.7,49.3,haiti
2270.0,85.0,82.6,77.7,86.7,91.2,83.8,100.0,84.0,4.8,10.5,0.0,12.9,honduras
12990.0,,98.0,98.6,97.8,100.0,100.0,70.0,168.0,0.0,0.0,0.0,2.5,hungary
49730.0,,98.8,100.0,98.7,100.0,100.0,49.0,90.0,0.0,0.0,0.0,2.5,iceland
1590.0,87.0,39.6,28.5,62.6,94.1,92.6,100.0,84.0,44.4,61.3,9.8,14.5,india
3440.0,81.0,60.8,47.5,72.3,87.4,79.5,100.0,90.0,20.4,28.9,13.1,8.3,indonesia
,98.0,90.0,82.3,92.8,96.2,92.1,67.0,270.0,0.0,0.0,0.0,4.9,iran
5550.0,56.0,85.6,83.8,86.4,86.6,70.1,100.0,72.0,0.0,0.0,0.0,29.0,iraq
46680.0,95.0,90.5,92.9,89.1,97.9,97.8,35.0,182.0,,,,2.5,ireland
35440.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,0.0,0.0,0.0,2.5,israel
32790.0,93.0,99.5,99.6,99.5,100.0,100.0,80.0,150.0,0.0,0.0,0.0,2.5,italy
5010.0,91.0,81.8,84.1,79.9,93.8,89.4,100.0,56.0,0.8,1.1,0.5,8.0,jamaica
36680.0,,100.0,100.0,100.0,100.0,100.0,67.0,98.0,0.0,0.0,0.0,2.5,japan
4680.0,99.0,98.6,98.9,98.6,96.9,92.3,100.0,70.0,0.0,0.0,0.0,12.2,jordan
11580.0,98.0,97.5,98.1,97.0,92.9,85.6,100.0,126.0,0.0,0.0,0.0,2.5,kazakhstan
1340.0,89.0,30.1,29.7,31.2,63.2,56.8,100.0,90.0,12.0,15.3,2.6,29.4,kenya
3230.0,87.0,39.7,30.6,51.2,66.9,50.6,25.0,84.0,35.9,48.8,19.7,2.7,kiribati
,96.0,81.9,72.5,87.9,99.7,99.4,,,0.0,0.0,0.0,47.8,north korea
27440.0,98.0,100.0,100.0,100.0,,,100.0,90.0,0.0,0.0,0.0,2.5,south korea
40930.0,99.0,100.0,100.0,100.0,99.0,99.0,100.0,70.0,0.0,0.0,0.0,2.8,kuwait
1730.0,89.0,70.9,56.0,94.5,75.7,69.4,100.0,105.0,23.3,37.2,1.0,16.5,lao
14900.0,94.0,87.8,81.5,90.8,99.3,98.3,80.0,112.0,0.0,0.0,0.0,2.5,latvia
7930.0,81.0,80.7,80.7,80.7,99.0,99.0,100.0,70.0,0.2,0.2,0.2,11.0,lebanon
,93.0,30.3,27.6,37.3,81.8,77.0,100.0,84.0,32.5,43.4,3.6,13.1,lesotho
380.0,52.0,16.9,5.9,28.0,75.6,62.6,100.0,90.0,47.8,68.0,27.3,37.2,liberia
15000.0,94.0,92.4,82.8,97.2,96.6,90.4,100.0,126.0,,,,2.5,lithuania
77000.0,99.0,97.6,98.5,97.5,100.0,100.0,100.0,112.0,0.0,0.0,0.0,2.5,luxembourg
5140.0,92.0,90.9,82.6,97.2,99.4,98.9,100.0,270.0,0.7,1.6,0.0,3.2,north macedonia
420.0,69.0,12.0,8.7,18.0,51.5,35.3,100.0,98.0,39.8,51.7,17.9,44.4,madagascar
350.0,88.0,41.0,39.8,47.3,90.2,89.1,100.0,56.0,4.2,4.7,1.3,17.5,malawi
10570.0,99.0,96.0,95.9,96.1,98.2,93.0,100.0,60.0,0.0,0.0,0.0,2.5,malaysia
6670.0,99.0,97.9,98.3,97.5,98.6,97.9,100.0,60.0,0.0,0.0,0.0,10.3,maldives
790.0,68.0,24.7,16.1,37.5,77.0,64.1,100.0,98.0,9.5,14.5,2.0,6.3,mali
,95.0,100.0,100.0,100.0,100.0,100.0,82.0,126.0,0.0,0.0,0.0,2.5,malta
,73.0,40.0,13.8,57.5,57.9,57.1,100.0,98.0,34.6,69.0,11.6,10.4,mauritania
9610.0,97.0,93.1,92.6,93.9,99.9,99.8,100.0,84.0,0.1,0.2,0.0,6.5,mauritius
9710.0,82.0,85.2,74.5,88.0,96.1,92.1,100.0,84.0,0.8,4.0,0.0,3.6,mexico
2220.0,88.0,76.4,67.1,87.8,88.4,81.4,100.0,126.0,0.1,0.2,0.0,,moldova
3830.0,99.0,59.7,42.6,66.4,64.4,59.2,100.0,120.0,8.8,27.8,1.4,13.4,mongolia
7240.0,82.0,95.9,92.2,98.0,99.7,99.2,100.0,45.0,0.1,0.2,0.0,2.5,montenegro
3040.0,99.0,76.7,65.5,84.1,85.4,65.3,67.0,98.0,9.1,22.8,0.0,3.4,morocco
580.0,80.0,20.5,10.1,42.4,51.1,37.0,100.0,60.0,39.5,52.0,13.1,27.9,mozambique
,75.0,79.6,77.1,84.3,80.6,74.4,70.0,98.0,4.4,6.4,0.5,10.6,myanmar
5210.0,92.0,34.4,16.8,54.5,91.0,84.6,100.0,84.0,48.5,73.2,20.3,27.3,namibia
730.0,91.0,45.8,43.5,56.0,91.6,91.8,100.0,52.0,31.6,37.5,5.6,8.7,nepal
48940.0,94.0,97.7,99.9,97.5,100.0,100.0,100.0,112.0,0.0,0.0,0.0,2.5,netherlands
,,100.0,100.0,100.0,98.5,98.5,,,0.0,0.0,0.0,7.1,new caledonia
40080.0,92.0,,,,100.0,100.0,47.0,112.0,,,,2.5,new zealand
1940.0,98.0,67.9,55.7,76.5,87.0,69.4,100.0,84.0,7.3,14.2,2.5,17.0,nicaragua
390.0,65.0,10.9,4.6,37.9,58.2,48.6,100.0,98.0,72.8,86.3,14.3,16.5,niger
2820.0,56.0,29.0,25.4,32.8,68.5,57.3,50.0,84.0,25.1,33.8,15.5,13.4,nigeria
93820.0,,98.1,98.3,98.0,100.0,100.0,,,0.0,0.0,0.0,2.5,norway
16920.0,99.0,96.7,94.7,97.3,93.4,86.1,100.0,50.0,3.3,5.3,2.7,6.8,oman
1440.0,72.0,63.5,51.1,83.1,91.4,89.9,100.0,84.0,13.3,21.4,0.6,20.3,pakistan
12050.0,73.0,75.0,58.0,83.5,94.7,88.6,100.0,98.0,3.4,8.6,0.8,10.0,panama
4220.0,93.0,88.6,78.4,95.5,98.0,94.9,50.0,63.0,0.0,0.0,0.0,10.7,paraguay
6200.0,90.0,76.2,53.2,82.5,86.7,69.2,100.0,90.0,5.2,20.0,1.1,9.7,peru
3540.0,60.0,73.9,70.8,77.9,91.8,90.3,100.0,60.0,7.3,10.4,3.4,13.3,philippines
13370.0,96.0,97.2,96.7,97.5,98.3,96.9,100.0,182.0,0.0,0.0,0.0,2.5,poland
20530.0,98.0,99.7,99.8,99.6,100.0,100.0,,,0.0,0.0,0.0,2.5,portugal
9500.0,90.0,79.1,63.3,92.2,100.0,100.0,85.0,126.0,,,,2.5,romania
11400.0,97.0,72.2,58.7,77.0,96.9,91.2,100.0,140.0,1.0,0.9,1.0,2.5,russian federation
700.0,98.0,61.6,62.9,58.5,76.1,71.9,60.0,84.0,1.6,1.9,0.8,36.8,rwanda
3930.0,59.0,91.5,91.1,93.3,99.0,99.3,100.0,28.0,0.1,0.1,0.0,2.7,samoa
,96.0,34.7,23.3,40.8,97.1,93.6,100.0,90.0,54.1,66.3,47.5,7.0,sao tome and principe
23550.0,98.0,100.0,100.0,100.0,97.0,97.0,100.0,70.0,0.0,0.0,0.0,7.1,saudi arabia
1000.0,89.0,47.6,33.8,65.4,78.5,67.3,100.0,98.0,13.6,23.6,0.6,11.3,senegal
5500.0,94.0,96.4,94.2,98.2,99.2,98.9,100.0,135.0,0.1,0.2,0.0,5.7,serbia
630.0,86.0,13.3,6.9,22.8,62.6,47.8,100.0,84.0,23.6,33.7,8.4,25.6,sierra leone
22610.0,,99.1,99.1,99.1,99.5,99.4,100.0,105.0,0.0,0.0,0.0,2.5,slovenia
1940.0,98.0,29.8,15.0,81.4,80.8,77.2,25.0,84.0,53.7,66.4,9.5,8.9,solomon islands
6050.0,71.0,66.4,60.5,69.6,93.2,81.4,38.0,120.0,3.7,7.9,1.5,6.2,south africa
28520.0,97.0,99.9,100.0,99.8,100.0,100.0,100.0,112.0,0.0,0.0,0.0,2.5,spain
3800.0,99.0,95.1,96.7,88.1,95.6,95.0,100.0,84.0,0.2,0.0,1.0,9.0,sri lanka
7390.0,99.0,90.5,91.9,84.7,96.3,95.6,65.0,91.0,2.4,1.4,6.7,,saint lucia
6670.0,98.0,,,,95.1,95.1,65.0,91.0,,,,5.7,saint vincent and the grenadines
1840.0,93.0,,,,,,100.0,56.0,,,,20.1,sudan
9300.0,89.0,79.2,61.4,88.4,94.8,88.4,,0.0,6.3,18.1,0.3,8.5,suriname
57810.0,53.0,99.3,99.6,99.3,100.0,100.0,,,0.0,0.0,0.0,2.5,sweden
84180.0,,99.9,99.8,99.9,100.0,100.0,59.0,98.0,0.0,0.0,0.0,2.5,switzerland
1240.0,96.0,95.0,95.5,93.8,73.8,66.7,100.0,140.0,0.1,0.1,0.0,,tajikistan
5620.0,99.0,93.0,96.1,89.9,97.8,98.0,100.0,90.0,0.0,0.0,0.0,7.8,thailand
1920.0,76.0,40.6,26.8,69.0,71.9,60.5,100.0,84.0,26.1,35.6,6.5,24.9,timor-leste
540.0,88.0,11.6,2.9,24.7,63.1,44.2,100.0,98.0,51.7,74.2,18.0,16.1,togo
18600.0,90.0,91.5,91.5,91.5,95.1,95.1,61.0,98.0,0.2,0.2,0.2,5.5,trinidad and tobago
3970.0,98.0,91.6,79.8,97.4,97.7,93.2,67.0,30.0,0.7,2.1,0.0,4.3,tunisia
9950.0,96.0,94.9,85.5,98.3,100.0,100.0,67.0,112.0,0.1,0.5,0.0,2.5,turkey
7510.0,99.0,,,,,,,,,,,5.4,turkmenistan
670.0,78.0,19.1,17.3,28.5,79.0,75.8,100.0,84.0,7.2,8.1,2.2,41.0,uganda
2620.0,22.0,95.9,92.6,97.4,96.2,97.8,100.0,126.0,,,0.0,3.5,ukraine
43170.0,94.0,97.6,95.2,98.0,99.6,100.0,100.0,45.0,0.0,0.0,0.0,2.6,united arab emirates
43340.0,,99.2,99.6,99.1,100.0,100.0,90.0,14.0,0.0,0.0,0.0,2.5,united kingdom
54960.0,92.0,100.0,100.0,100.0,99.2,98.2,,,0.0,0.0,0.0,2.5,united states of america
15720.0,95.0,96.4,92.6,96.6,99.7,93.9,100.0,98.0,0.1,0.0,0.1,2.5,uruguay
2150.0,99.0,100.0,100.0,100.0,,,100.0,126.0,0.0,0.0,0.0,6.3,uzbekistan
,64.0,57.9,55.4,65.1,94.5,92.9,66.0,84.0,1.9,2.2,1.3,7.2,vanuatu
,87.0,94.4,69.9,97.5,93.1,77.9,100.0,182.0,5.4,28.6,2.5,21.2,venezuela
1980.0,97.0,78.0,69.7,94.4,97.6,96.9,100.0,180.0,0.7,1.1,0.0,9.3,vietnam
,69.0,,,,,,100.0,70.0,,,,38.9,yemen
1500.0,90.0,43.9,35.7,55.6,65.4,51.3,100.0,84.0,13.7,22.3,1.3,46.7,zambia
850.0,87.0,36.8,30.8,49.3,76.9,67.3,100.0,98.0,27.6,40.1,1.5,51.3,zimbabwe
